,Titres,"[Formats, Prix]",Nombre de pages Format Broché,Taille du fichier Kindle,Nombre de pages Format Poche,Nombre de pages Format Relié,Dimensions Format Broché,Dimensions Format Poche,Dimensions Format Relié,Evaluations (sur 5),Nombre d'évaluations,Liens
52,Cuisiner light avec thermomix,"['Relié 29,95', 'Format Kindle 28,99']",None,153698 KB,None,288,None,None,20.5 x 3.5 x 26.2 cm,"4,6",401,https://www.amazon.fr//Cuisiner-light-thermomix-B%C3%A9reng%C3%A8re-Abraham/dp/203595486X/ref=sr_1_63?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672776&s=books&sr=1-63
53,"MES 100 RECETTES CUISINE RAPIDE MINCEUR - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I ... I Maigrir I Mincir I Perdre du poid I","['Broché 9,40']",105,None,None,None,21.59 x 0.69 x 27.94 cm,None,None,"1,0",1,https://www.amazon.fr//MES-RECETTES-CUISINE-RAPIDE-MINCEUR/dp/B08BWFVXZL/ref=sr_1_64?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672776&s=books&sr=1-64
54,Edgar Cayce. Recette de forme et de minceur,"['Broché 19,40']",218,None,None,None,15.5 x 2 x 24 cm,None,None,"4,5",5,https://www.amazon.fr//Edgar-Cayce-Recette-forme-minceur/dp/2268038637/ref=sr_1_65?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672776&s=books&sr=1-65
55,"Agenda Minceur 90 Jours: Journal Alimentaire et d’activité Sportive à Compléter | Cahier de Suivi Régime (Mensurations, IMC, Poids, Repas, Sport, Notes..) | Planificateur, Carnet Quotidien pour Femme","['Broché 5,98']",100,None,None,None,15.24 x 0.58 x 22.86 cm,None,None,None,None,https://www.amazon.fr//Agenda-Minceur-Jours-Mensurations-Planificateur/dp/B092HJZ713/ref=sr_1_66?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672776&s=books&sr=1-66
56,Plats light et bons pour la santé,"['Broché 4,99']",192,None,None,None,14.5 x 1.7 x 19.1 cm,None,None,"4,0",67,https://www.amazon.fr//Plats-light-bons-pour-sant%C3%A9/dp/2263154094/ref=sr_1_67?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672776&s=books&sr=1-67
57,LA PENSÉE POSITIVE: Comment atteindre vos objectifs et mener une vie positive à travers le pouvoir de la pensée,"['Format Kindle 4,99', 'Broché 8,99']",80,: Illimité,None,None,12.7 x 0.51 x 20.32 cm,None,None,"4,1",1881,https://www.amazon.fr//PENS%C3%89E-POSITIVE-atteindre-objectifs-positive/dp/B085RTHNJW/ref=sr_1_68?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672776&s=books&sr=1-68
58,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Format Kindle 2,99', 'Broché 7,87']",58,,None,None,12.7 x 0.36 x 20.32 cm,None,None,"3,2",109,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg4_1?ie=UTF8&adId=A026254834VHE5WAX6WDJ&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Perdre-jusqu%25C3%25A0-quelques%2Fdp%2F1975650492%2Fref%3Dsr_1_69_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672776%26s%3Dbooks%26sr%3D1-69-spons%26psc%3D1&qualifier=1618672776&id=6375843057366128&widgetName=sp_btf
59,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Broché 13,61', 'Format Kindle 5,99']",217,,None,None,15.24 x 1.24 x 22.86 cm,None,None,"4,5",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg4_1?ie=UTF8&adId=A00500992K18Q98JCLTCE&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Alimentaire-Comprenant-Intermittent%2Fdp%2FB08DSSZFV3%2Fref%3Dsr_1_70_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672776%26s%3Dbooks%26sr%3D1-70-spons%26psc%3D1&qualifier=1618672776&id=6375843057366128&widgetName=sp_btf
60,Les soupes minceur,"['Broché 14,90']",127,None,None,None,16.6 x 1.4 x 24 cm,None,None,"3,5",2,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg5_1?ie=UTF8&adId=A0556997VDYLSCU7TF07&url=%2Fsoupes-minceur-Philippe-Chavanne%2Fdp%2F2359345575%2Fref%3Dsr_1_65_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672777%26s%3Dbooks%26sr%3D1-65-spons%26psc%3D1&qualifier=1618672777&id=6503411097003324&widgetName=sp_atf_next
61,"Candida Albicans - La reconnaître : fatigue, surpoids, maux de ventre... Les solutions naturelles","['Broché 19,90']",184,None,None,None,16.5 x 1.8 x 24.1 cm,None,None,"3,9",20,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg5_1?ie=UTF8&adId=A05503777H8ZYWZQ4DKU&url=%2FCandida-Albicans-reconna%25C3%25AEtre-solutions-naturelles%2Fdp%2F2359344692%2Fref%3Dsr_1_66_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672777%26s%3Dbooks%26sr%3D1-66-spons%26psc%3D1&qualifier=1618672777&id=6503411097003324&widgetName=sp_atf_next
62,La bible officielle du cookeo: 200 recettes incontournables pour cuisiner au quotidien,"['Relié 19,95']",None,None,None,416,None,None,20.6 x 4.4 x 26.8 cm,"4,7",3294,https://www.amazon.fr//bible-officielle-cookeo-incontournables-quotidien/dp/2035961025/ref=sr_1_67?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-67
63,"LE RÉGIME ANTI-INFLAMMATOIRE: Programme de 10 semaines et plus de 200 recettes de guérison pour lutter contre l'inflammation et renforcer votre système immunitaire, du petit-déjeuner au dîner","['Format Kindle 7,97', 'Broché 15,81']",149,,None,None,20.32 x 0.86 x 25.4 cm,None,None,"3,5",16,https://www.amazon.fr//R%C3%89GIME-ANTI-INFLAMMATOIRE-linflammation-immunitaire-petit-d%C3%A9jeuner/dp/B08W7SQGCG/ref=sr_1_68?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-68
64,"Le Régime Cétogène: Perdez du poids efficacement avec le régime cétogène - inclus un programme de 14 jours, idéal aussi bien pour les débutants que pour les connaisseurs","['Broché 7,95', 'Format Kindle 3,95']",143,: Illimité,None,None,12.7 x 0.84 x 20.32 cm,None,None,"3,7",394,https://www.amazon.fr//R%C3%A9gime-C%C3%A9tog%C3%A8ne-efficacement-programme-connaisseurs/dp/B087SN2SSW/ref=sr_1_69?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-69
65,Recettes Minceur avec Thermomix,"['Broché 9,39', 'Format Kindle 4,90']",90,: Illimité,None,None,15.24 x 0.53 x 22.86 cm,None,None,None,None,https://www.amazon.fr//Recettes-Minceur-Thermomix-Catherine-Desnoy/dp/B08YQVB1N9/ref=sr_1_70?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-70
66,Le régime DASH,"['Broché 14,90']",105,None,None,None,16.5 x 1.2 x 24.1 cm,None,None,"3,8",39,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg5_1?ie=UTF8&adId=A0549785CTHEXVNE1QVC&url=%2Fr%25C3%25A9gime-DASH-Michel-Brack%2Fdp%2F2359345079%2Fref%3Dsr_1_71_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672777%26s%3Dbooks%26sr%3D1-71-spons%26psc%3D1&qualifier=1618672777&id=6503411097003324&widgetName=sp_mtf
67,Recettes végétariennes au Cookeo: Des recettes saines et équilibrées et végétariens pour toute la famille.,"['Broché 9,89', 'Format Kindle 4,90']",103,: Illimité,None,None,15.24 x 0.61 x 22.86 cm,None,None,"5,0",2,https://www.amazon.fr//Recettes-v%C3%A9g%C3%A9tariennes-Cookeo-%C3%A9quilibr%C3%A9es-v%C3%A9g%C3%A9tariens/dp/B08VRMMWL6/ref=sr_1_72?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-72
68,Les recettes healthy de Margot,"['Format Kindle 10,99', 'Broché 19,90']",189,75488 KB,None,None,22 x 1.7 x 17.1 cm,None,None,"4,4",98,https://www.amazon.fr//recettes-healthy-Margot-MARGOT-biendansmonslip/dp/B07NMNC86R/ref=sr_1_73?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-73
69,Recettes équilibrées sans se ruiner avec Cookeo,"['Broché 9,95']",168,None,None,None,18.5 x 1.5 x 23.5 cm,None,None,"4,5",297,https://www.amazon.fr//Recettes-%C3%A9quilibr%C3%A9es-sans-ruiner-Cookeo/dp/2035986257/ref=sr_1_74?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-74
70,Recettes à l'extracteur de jus: 140 recettes pour faire le plein de vitamines,"['Relié 9,95']",None,None,None,208,None,None,13.6 x 1.9 x 19.7 cm,"4,4",713,https://www.amazon.fr//Recettes-lextracteur-jus-recettes-vitamines/dp/2035934184/ref=sr_1_75?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-75
71,Un ventre plat en 2 semaines avec le régime low carb + 50 recettes,"['Broché 14,90']",127,None,None,None,16.7 x 1.5 x 24.1 cm,None,None,"4,2",4,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg5_1?ie=UTF8&adId=A05534853NVGTLG030WEH&url=%2Fventre-plat-semaines-r%25C3%25A9gime-recettes%2Fdp%2F2359344781%2Fref%3Dsr_1_76_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672777%26s%3Dbooks%26sr%3D1-76-spons%26psc%3D1&qualifier=1618672777&id=6503411097003324&widgetName=sp_mtf
72,"Régime keto: Découvrez la céto cuisine avec un plan de repas de 28 jours + 121 recettes cétogènes novatrices, délicieuses et inratables pour régime cétogène et régime Low-Carb. Recettes keto faciles","['Broché 9,90', 'Format Kindle 2,99']",185,,None,None,20.32 x 1.07 x 25.4 cm,None,None,"3,5",745,https://www.amazon.fr//R%C3%A9gime-keto-novatrices-d%C3%A9licieuses-inratables/dp/179301874X/ref=sr_1_77?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-77
73,150 recettes light au robot-cuiseur,"['Broché 7,95', 'Format Kindle 5,99']",192,41375 KB,None,None,17.1 x 2 x 17.2 cm,None,None,"4,3",161,https://www.amazon.fr//150-recettes-light-au-robot-cuiseur/dp/2412042756/ref=sr_1_78?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-78
74,Cuisiner light avec thermomix,"['Relié 29,95', 'Format Kindle 28,99']",None,153698 KB,None,288,None,None,20.5 x 3.5 x 26.2 cm,"4,6",401,https://www.amazon.fr//Cuisiner-light-thermomix-B%C3%A9reng%C3%A8re-Abraham/dp/203595486X/ref=sr_1_79?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-79
75,"Mon Carnet de recettes: Livre de recettes à écrire | Carnet personnalisé pour 50 recettes de cuisine à remplir | 2 pages par recette |Grand Format 21,59 cm x 27,94 cm [ Idée cadeau à offrir","['Broché 6,99']",104,None,None,None,21.59 x 0.61 x 27.94 cm,None,None,"4,8",23,https://www.amazon.fr//Mon-Carnet-recettes-personnalis%C3%A9-cuisine/dp/B08992BD7F/ref=sr_1_80?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-80
76,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Format Kindle 2,99', 'Broché 7,87']",58,,None,None,12.7 x 0.36 x 20.32 cm,None,None,"3,2",109,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg5_1?ie=UTF8&adId=A026254834VHE5WAX6WDJ&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Perdre-jusqu%25C3%25A0-quelques%2Fdp%2F1975650492%2Fref%3Dsr_1_81_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672777%26s%3Dbooks%26sr%3D1-81-spons%26psc%3D1&qualifier=1618672777&id=6503411097003324&widgetName=sp_mtf
77,Régime Cétogène: Perdre jusqu’à 10kg en quelques jours,"['Format Kindle 2,99', 'Broché 7,87']",58,,None,None,12.7 x 0.36 x 20.32 cm,None,None,"3,2",109,https://www.amazon.fr//R%C3%A9gime-C%C3%A9tog%C3%A8ne-Perdre-jusqu%C3%A0-quelques/dp/1975650492/ref=sr_1_82?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-82
78,Régime Cétogène: Challenge 14 jours,"['Format Kindle 2,99', 'Broché 6,99']",79,,None,None,12.7 x 0.46 x 20.32 cm,None,None,"3,8",124,https://www.amazon.fr//R%C3%A9gime-C%C3%A9tog%C3%A8ne-Challenge-14-jours/dp/1975651332/ref=sr_1_83?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-83
79,"MES 100 JUS DETOX RECETTE MINCEUR - A compléter, cuisiner et savourer: Livre de recettes à écrire soi-même I Carnet & Cahier I Idée cadeau I Noël I ... I concombre I brule graisse I Maigrir","['Broché 9,40']",105,None,None,None,21.59 x 0.69 x 27.94 cm,None,None,None,None,https://www.amazon.fr//MES-100-DETOX-RECETTE-MINCEUR/dp/B08BWGQ84K/ref=sr_1_84?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-84
80,Agenda Minceur 90 jours: Journal alimentaire et carnet de suivi sportif | Cahier minceur à compléter chaque jour pour le suivi de votre régime ou de votre rééquilibrage alimentaire,"['Broché 8,99']",118,None,None,None,15.24 x 0.69 x 22.86 cm,None,None,"4,2",5,https://www.amazon.fr//Agenda-Minceur-jours-alimentaire-r%C3%A9%C3%A9quilibrage/dp/B08RYCLQN1/ref=sr_1_85?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672777&s=books&sr=1-85
81,"Régime Cétogène: Le Guide Complet pour Perdre du Poids, Améliorer votre Mode de Vie Grâce à un Plan Alimentaire Comprenant des Recettes à IG Bas que vous Pourrez Combiner avec le Jeûne Intermittent","['Broché 13,61', 'Format Kindle 5,99']",217,,None,None,15.24 x 1.24 x 22.86 cm,None,None,"4,5",15,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_stripbooks_sr_pg5_1?ie=UTF8&adId=A00500992K18Q98JCLTCE&url=%2FR%25C3%25A9gime-C%25C3%25A9tog%25C3%25A8ne-Alimentaire-Comprenant-Intermittent%2Fdp%2FB08DSSZFV3%2Fref%3Dsr_1_86_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672777%26s%3Dbooks%26sr%3D1-86-spons%26psc%3D1&qualifier=1618672777&id=6503411097003324&widgetName=sp_btf
82,Le régime DASH,"['Broché 14,90']",105,None,None,None,16.5 x 1.2 x 24.1 cm,None,None,"3,8",39,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg6_1?ie=UTF8&adId=A0549785CTHEXVNE1QVC&url=%2Fr%25C3%25A9gime-DASH-Michel-Brack%2Fdp%2F2359345079%2Fref%3Dsr_1_81_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672778%26s%3Dbooks%26sr%3D1-81-spons%26psc%3D1&qualifier=1618672778&id=5109222235023676&widgetName=sp_atf_next
83,Un ventre plat en 2 semaines avec le régime low carb + 50 recettes,"['Broché 14,90']",127,None,None,None,16.7 x 1.5 x 24.1 cm,None,None,"4,2",4,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_stripbooks_sr_pg6_1?ie=UTF8&adId=A05534853NVGTLG030WEH&url=%2Fventre-plat-semaines-r%25C3%25A9gime-recettes%2Fdp%2F2359344781%2Fref%3Dsr_1_82_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672778%26s%3Dbooks%26sr%3D1-82-spons%26psc%3D1&qualifier=1618672778&id=5109222235023676&widgetName=sp_atf_next
84,Mangez sain mangez bien avec Cookeo,"['Format Kindle 7,99', 'Broché 9,95']",168,33366 KB,None,None,18.5 x 1.5 x 23.5 cm,None,None,"4,5",346,https://www.amazon.fr//Mangez-sain-mangez-bien-Cookeo/dp/2035955173/ref=sr_1_83?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-83
85,"Mes Recettes de Jus de Légumes Minceur: Livre recette extracteur de jus a remplir pour detox, jeune, cuisiner simple ou pour le plaisir du gout. ... pour maigrir ou manger léger | 100 recettes","['Broché 6,99']",106,None,None,None,17.78 x 0.69 x 25.4 cm,None,None,None,None,https://www.amazon.fr//Mes-Recettes-Jus-L%C3%A9gumes-Minceur/dp/B08KQXLW5D/ref=sr_1_84?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-84
86,"LAISSE-TOI GUIDER: LTG, mon programme de rééquilibrage alimentaire","['Broché 23,00']",204,None,None,None,20.32 x 1.17 x 25.4 cm,None,None,"4,4",655,https://www.amazon.fr//LAISSE-TOI-GUIDER-programme-r%C3%A9%C3%A9quilibrage-alimentaire/dp/1088841120/ref=sr_1_85?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-85
87,Dash minceur,"['Broché 18,00']",300,None,None,None,20.9 x 1.8 x 15 cm,None,None,"3,8",17,https://www.amazon.fr//Dash-minceur-Anne-Dufour/dp/B07XW7DHKV/ref=sr_1_86?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-86
88,Mieux manger toute l'année - 2020,"['Format Kindle 14,99', 'Broché 19,90']",456,136759 KB,None,None,19.3 x 4.4 x 25.1 cm,None,None,"4,5",1504,https://www.amazon.fr//Mieux-manger-toute-lann%C3%A9e-2020/dp/226316247X/ref=sr_1_87?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-87
89,"Le Régime Cétogène: Perdez du poids efficacement avec le régime cétogène - inclus un programme de 14 jours, idéal aussi bien pour les débutants que pour les connaisseurs","['Broché 7,95', 'Format Kindle 3,95']",143,: Illimité,None,None,12.7 x 0.84 x 20.32 cm,None,None,"3,7",394,https://www.amazon.fr//R%C3%A9gime-C%C3%A9tog%C3%A8ne-efficacement-programme-connaisseurs/dp/B087SN2SSW/ref=sr_1_88?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-88
90,"Le Minceur: Plus de 100 pages - Moins de Kilo - Livre de Recettes à Remplir - 8,5 × 11 pouces - Un Grand Format pour Maigrir","['Broché 5,99']",120,None,None,None,21.59 x 0.71 x 27.94 cm,None,None,None,None,https://www.amazon.fr//Minceur-Recettes-Remplir-pouces-Maigrir/dp/B08924C48N/ref=sr_1_89?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-89
91,Eaux détox,"['Relié 7,99', 'Format Kindle 5,99']",None,13671 KB,None,72,None,None,21.5 x 1.2 x 21.5 cm,"4,4",186,https://www.amazon.fr//Eaux-d%C3%A9tox-Jessie-Kanelos-Weiner/dp/2501115139/ref=sr_1_90?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-90
92,Les soupes minceur,"['Broché 14,90']",127,None,None,None,16.6 x 1.4 x 24 cm,None,None,"3,5",2,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg6_1?ie=UTF8&adId=A0556997VDYLSCU7TF07&url=%2Fsoupes-minceur-Philippe-Chavanne%2Fdp%2F2359345575%2Fref%3Dsr_1_91_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672778%26s%3Dbooks%26sr%3D1-91-spons%26psc%3D1&qualifier=1618672778&id=5109222235023676&widgetName=sp_mtf
93,"Candida Albicans - La reconnaître : fatigue, surpoids, maux de ventre... Les solutions naturelles","['Broché 19,90']",184,None,None,None,16.5 x 1.8 x 24.1 cm,None,None,"3,9",20,https://www.amazon.fr//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_stripbooks_sr_pg6_1?ie=UTF8&adId=A05503777H8ZYWZQ4DKU&url=%2FCandida-Albicans-reconna%25C3%25AEtre-solutions-naturelles%2Fdp%2F2359344692%2Fref%3Dsr_1_92_sspa%3F__mk_fr_FR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26dchild%3D1%26keywords%3Dlivre%2Brecette%2Bminceur%26qid%3D1618672778%26s%3Dbooks%26sr%3D1-92-spons%26psc%3D1&qualifier=1618672778&id=5109222235023676&widgetName=sp_mtf
94,Recettes végétariennes au Cookeo: Des recettes saines et équilibrées et végétariens pour toute la famille.,"['Broché 9,89', 'Format Kindle 4,90']",103,: Illimité,None,None,15.24 x 0.61 x 22.86 cm,None,None,"5,0",2,https://www.amazon.fr//Recettes-v%C3%A9g%C3%A9tariennes-Cookeo-%C3%A9quilibr%C3%A9es-v%C3%A9g%C3%A9tariens/dp/B08VRMMWL6/ref=sr_1_93?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-93
95,Les recettes healthy de Margot,"['Format Kindle 10,99', 'Broché 19,90']",189,75488 KB,None,None,22 x 1.7 x 17.1 cm,None,None,"4,4",98,https://www.amazon.fr//recettes-healthy-Margot-MARGOT-biendansmonslip/dp/B07NMNC86R/ref=sr_1_94?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-94
96,Cuisine detox - super facile,"['Broché 6,95', 'Format Kindle 4,49']",192,63968 KB,None,None,19.2 x 1.8 x 20.1 cm,None,None,"4,3",10,https://www.amazon.fr//Cuisine-detox-facile-Zoe-ARMBRUSTER/dp/2263148973/ref=sr_1_95?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-95
97,"Jus détox, Eaux détox & Smoothies détox: 50 Recettes détox pour perdre du poids, gagner de l’énergie et être en bonne forme - Eaux infusées, Smoothies minceur et Jus détox (Recettes boisson détox)","['Broché 7,99', 'Format Kindle 2,99']",120,,None,None,20.32 x 0.71 x 25.4 cm,None,None,"3,8",14,https://www.amazon.fr//Jus-d%C3%A9tox-Eaux-Smoothies-Recettes/dp/1095698230/ref=sr_1_96?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-96
98,Granolas et mueslis,"['Relié 7,99', 'Format Kindle 5,99']",None,29771 KB,None,96,None,None,18 x 1.5 x 21 cm,"3,9",9,https://www.amazon.fr//Granolas-mueslis-Soizic-Chomel-Varagnes/dp/2016269006/ref=sr_1_97?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-97
99,Ma pâtisserie healthy: 60 recettes saines & gourmandes,"['Broché 14,90', 'Format Kindle 9,99']",160,108737 KB,None,None,18.4 x 1.5 x 23.5 cm,None,None,"4,6",13,https://www.amazon.fr//Ma-p%C3%A2tisserie-healthy-recettes-gourmandes/dp/2226459995/ref=sr_1_98?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=livre+recette+minceur&qid=1618672778&s=books&sr=1-98
